Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-12174857.71349,-22218832.16292,8720257.854958,0,0,0,-1.906064920761,0.5708884055813,22812558.94391,22941808.7913626,120559992.0326,-0.0004311074035001,0,0,0,2.557464674715,4.541825644577,0,-1.906064920761,0.5697866355751,-1.103044583788,0.1347882230254,1.369482682018,2.309841721538,2271.578039873,-432.2669282556,0,0,172800.500,2099,0,0,423.474363083
600,-12174770.47198,-22218774.15074,8720548.334103,0,0,0,-1.90605550064,0.57089917952,22812515.71742,22941765.5648682,120559764.8762,-0.0004311074038676,0,0,0,2.557430185464,4.541750129634,0,-1.90605550064,0.569797439487,-1.102951731005,0.1347924597236,1.36948414583,2.309940985578,2271.553549631,-432.2622679174,0,0,172800.600,2099,0,0,523.4745072711
700,-12174683.22775,-22218716.13642,8720838.811441,0,0,0,-1.906046080428,0.5709099534481,22812472.49139,22941722.3388395,120559537.7223,-0.0004311074042352,0,0,0,2.557395697093,4.541674617791,0,-1.906046080428,0.5698082433886,-1.102858878311,0.1347966970309,1.369485609662,2.310040249243,2271.529098541,-432.2576150298,0,0,172800.700,2099,0,0,623.4746514576
800,-12174595.98079,-22218658.11994,8721129.286972,0,0,0,-1.906036660123,0.5709207273655,22812429.26583,22941679.1132765,120559310.5708,-0.0004311074046027,0,0,0,2.5573612096,4.541599109047,0,-1.906036660123,0.5698190472798,-1.102766025705,0.1348009286724,1.369487073515,2.31013951253,2271.504598511,-432.252952829,0,0,172800.800,2099,0,0,723.4747956425
900,-12174508.73112,-22218600.10132,8721419.760696,0,0,0,-1.906027239727,0.5709315012723,22812386.04073,22941635.8881791,120559083.4217,-0.0004311074049702,0,0,0,2.557326722986,4.541523603402,0,-1.906027239727,0.5698298511608,-1.102673173187,0.1348051728649,1.369488537388,2.310238775441,2271.480137633,-432.2482980788,0,0,172800.900,2099,0,0,823.4749398259
1000,-12174421.47872,-22218542.08055,8721710.232612,0,0,0,-1.906017819239,0.5709422751683,22812342.8161,22941592.6635375,120558856.2752,-0.0004311074053378,0,0,0,2.557282334007,4.541448100855,0,-1.906017819239,0.5698406550316,-1.102580320758,0.1348094097429,1.369490001282,2.310338037974,2271.455666967,-432.2436414659,0,0,172801.000,2099,0,0,923.4750840078
1100,-12174334.2236,-22218484.05762,8722000.70272,0,0,0,-1.90600839866,0.5709530490537,22812299.59193,22941549.4393715,120558629.131,-0.0004311074057053,0,0,0,2.557247850063,4.541372601408,0,-1.90600839866,0.569851458892,-1.102487468418,0.1348136461498,1.369491465197,2.310437300132,2271.43120609,-432.2389867157,0,0,172801.100,2099,0,0,1023.475228188
1200,-12174246.96576,-22218426.03255,8722291.171021,0,0,0,-1.905998977988,0.5709638229284,22812256.36823,22941506.2156711,120558401.9893,-0.0004311074060728,0,0,0,2.557213366997,4.541297105058,0,-1.905998977988,0.5698622627421,-1.102394616165,0.1348178751188,1.369492929133,2.310536561912,2271.406725636,-432.2343282402,0,0,172801.200,2099,0,0,1123.475372367
1300,-12174159.7052,-22218368.00532,8722581.637513,0,0,0,-1.905989557225,0.5709745967924,22812213.145,22941462.9924364,120558174.85,-0.0004311074064403,0,0,0,2.55717888481,4.541221611808,0,-1.905989557225,0.5698730665819,-1.102301764002,0.1348221156163,1.36949439309,2.310635823315,2271.382245182,-432.2296697646,0,0,172801.300,2099,0,0,1223.475516544
1400,-12174072.44192,-22218309.97595,8722872.102199,0,0,0,-1.90598013637,0.5709853706458,22812169.92223,22941419.7696673,120557947.7132,-0.0004311074068078,0,0,0,2.557144403502,4.541146121655,0,-1.90598013637,0.5698838704115,-1.102208911926,0.1348263593441,1.369495857067,2.310735084342,2271.357803881,-432.2250187397,0,0,172801.400,2099,0,0,1323.47566072
