Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,13577098.73026,-13748359.98817,18624506.20452,0,0,0,1.450100877735,1.124790151147,20951504.3701,20879294.4110728,109721415.6528,0.0002408810058741,0,0,0,1.620932827335,2.728875091833,0,1.450100877735,1.125206138816,3.764001633652,2.66057541877,1.468268794454,5.994193239038,-922.7452597519,175.5925845355,0,0,172800.500,2099,0,0,430.3541705139
600,13577326.12595,-13748371.43413,18624327.45065,0,0,0,1.450123647289,1.124780538213,20951521.92995,20879311.9706508,109721507.9289,0.0002408810068551,0,0,0,1.620939338249,2.728887576596,0,1.450123647289,1.125196449745,3.763977040823,2.660591945374,1.468266713839,5.994209610199,-922.7781483268,175.5988430232,0,0,172800.600,2099,0,0,530.3541119415
700,13577553.5194,-13748382.8813,18624148.69293,0,0,0,1.450146416185,1.124770925165,20951539.49043,20879329.5308544,109721600.2084,0.0002408810078361,0,0,0,1.620945849471,2.728900061871,0,1.450146416185,1.125186760563,3.763952447712,2.660608460715,1.468264633207,5.994225981195,-922.8110271134,175.6050996482,0,0,172800.700,2099,0,0,630.354053367
800,13577780.91061,-13748394.32968,18623969.93136,0,0,0,1.450169184423,1.124761312005,20951557.05154,20879347.0916835,109721692.4911,0.0002408810088171,0,0,0,1.620952361001,2.728912547659,0,1.450169184423,1.12517707127,3.763927854319,2.660624978761,1.468262552559,5.994242352027,-922.8438667469,175.6113488227,0,0,172800.800,2099,0,0,730.3539947903
900,13578008.29957,-13748405.77927,18623791.16596,0,0,0,1.450191952005,1.124751698732,20951574.61327,20879364.6531383,109721784.7771,0.0002408810097981,0,0,0,1.62095887284,2.72892503396,0,1.450191952005,1.125167381866,3.763903260644,2.660641504844,1.468260471896,5.994258722693,-922.8767748983,175.6176110357,0,0,172800.900,2099,0,0,830.3539362116
1000,13578235.68628,-13748417.23008,18623612.39672,0,0,0,1.450214718928,1.124742085345,20951592.17562,20879382.2152187,109721877.0664,0.000240881010779,0,0,0,1.620965384986,2.728937520774,0,1.450214718928,1.125157692351,3.763878666687,2.660658021707,1.468258391216,5.994275093195,-922.9096536849,175.6238676608,0,0,172801.000,2099,0,0,930.3538776308
1100,13578463.07075,-13748428.68209,18623433.62364,0,0,0,1.450237485194,1.124732471846,20951609.7386,20879399.7779248,109721969.3589,0.00024088101176,0,0,0,1.620971897441,2.7289500081,0,1.450237485194,1.125148002725,3.763854072448,2.660674543525,1.468256310521,5.994291463532,-922.9425226832,175.6301224232,0,0,172801.100,2099,0,0,1030.353819048
1200,13578690.45298,-13748440.13532,18623254.84671,0,0,0,1.450260250803,1.124722858233,20951627.30221,20879417.3412564,109722061.6548,0.000240881012741,0,0,0,1.620978410205,2.728962495939,0,1.450260250803,1.125138312988,3.763829477928,2.66069106605,1.46825422981,5.994307833704,-922.9754210463,175.6363827735,0,0,172801.200,2099,0,0,1130.353760463
1300,13578917.83296,-13748451.58977,18623076.06595,0,0,0,1.450283015754,1.124713244508,20951644.86644,20879434.9052137,109722153.9539,0.000240881013722,0,0,0,1.620984923277,2.728974984291,0,1.450283015754,1.125128623139,3.763804883125,2.660707573412,1.468252149082,5.994324203711,-923.0082704681,175.6426338106,0,0,172801.300,2099,0,0,1230.353701876
1400,13579145.2107,-13748463.04542,18622897.28134,0,0,0,1.450305780049,1.124703630669,20951662.4313,20879452.4697966,109722246.2564,0.0002408810147029,0,0,0,1.620991436657,2.728987473156,0,1.450305780049,1.12511893318,3.763780288041,2.660724095584,1.468250068339,5.994340573552,-923.041198196,175.6488997489,0,0,172801.400,2099,0,0,1330.353643287
